question,answer
"小惠看見欲搭乘的000號公車已駛離停靠站，公車恰巧碰到紅燈暫停，小惠便穿梭車陣，到該公車停靠處敲門要司機開門上車，然而公車司機阿奇搖手予以拒絕，請問公車司機阿奇拒絕小惠在馬路中央上車的法律依據？
","一、道路交通管理處罰條例第55條第1項規定：「汽車駕駛人，臨時停車有下列情形之一者，處新臺幣三百元以上六百元以下罰鍰：……四、不依順行之方向，或不緊靠道路右側，或單行道不緊靠路邊，或併排臨時停車。……」。
二、本案例中，若公車司機阿奇在馬路中央開門讓小惠上車，將違反未緊靠路邊停車之行政義務，得依法處罰300元以上600元以下罰鍰，故阿奇拒絕小惠在馬路中央上公車係有理由。馬路中央載客將使乘客暴露在被後車追撞風險中，路面上的其他駕駛還會因少一個車道而承受交通堵塞，小惠與公車司機阿奇均應遵守交通規則，保護自己也保護他人，避免憾事發生。"
"小嫻與阿如為親密的好友，小嫻無意間瞥見阿如的手機解鎖密碼，竟趁阿如使用洗手間時，擅自以阿如的密碼解鎖阿如的手機，偷看阿如與他人之通話紀錄，阿如發現後難過又生氣。請問小嫻這樣的行為是否有法律責任？
",一、民法第195條第1項規定：「不法侵害他人之身體、健康、名譽、自由、信用、隱私、貞操，或不法侵害其他人格法益而情節重大者，被害人雖非財產上之損害，亦得請求賠償相當之金額。……」二、中華民國刑法第358條規定：「無故輸入他人帳號密碼、破解使用電腦之保護措施或利用電腦系統之漏洞，而入侵他人之電腦或其相關設備者，處3 年以下有期徒刑、拘役或科或併科10萬元以下罰金。」三、鑒於電腦系統或其相關設備遭惡意入侵後，系統管理者須耗費大量之時間人力檢查，為防此種行為之危害性，應科以行為人刑事責任，始能確保系統之安全性。小嫻未經阿如同意，擅自以阿如的密碼解鎖阿如的手機，無故入侵阿如之手機、閱覽阿如與他人間非公開之LINE對話紀錄，侵害阿如的隱私，除了可能需負擔民事賠償責任之外，更可能構成無故入侵他人電腦相關設備之刑責。小嫻與阿如雖係親密好友，但關係越好，越需要把握分寸，尊重朋友的隱私，才能維持友誼長存！
"長期旅居國外的大偉，正計畫回國在臺中市工作定居，大偉有做木工DIY的興趣，打算搬回來時帶著工具，之後慢慢自己動手打造適合自己的家跟家具，因此想事先瞭解，如果在臺中市的住宅區，要操作切割機裁切木料等會發出一定聲響之動力機械，有沒有什麼相關限制呢？
","一、公寓大廈管理條例第3條規定：「本條例用辭定義如下：……十二、規約：公寓大廈區分所有權人為增進共同利益，確保良好生活環境，經區分所有權人會議決議之共同遵守事項。」、第6條規定：「（第1項）住戶應遵守下列事項：一、於維護、修繕專有部分、約定專用部分或行使其權利時，不得妨害其他住戶之安寧、安全及衛生。……五、其他法令或規約規定事項。……（第3項）住戶違反第一項規定，經協調仍不履行時，住戶、管理負責人或管理委員會得按其性質請求各該主管機關或訴請法院為必要之處置。」、第16條規定：「（第1項）住戶不得任意棄置垃圾、排放各種污染物、惡臭物質或發生喧囂、振動及其他與此相類之行為。……、（第5項）住戶違反前四項規定時，管理負責人或管理委員會應予制止或按規約處理，經制止而不遵從者，得報請直轄市、縣（市）主管機關處理。」、第47條規定：「有下列行為之一者，由直轄市、縣（市）主管機關處新臺幣3千元以上1萬5千元以下罰鍰，並得令其限期改善或履行義務、職務；屆期不改善或不履行者，得連續處罰：……二、住戶違反第十六條第一項或第四項規定者。三、區分所有權人或住戶違反第六條規定，主管機關受理住戶、管理負責人或管理委員會之請求，經通知限期改善，屆期不改善者。」
二、社會秩序維護法第72條規定：「有左列各款行為之一者，處新臺幣6千元以下罰鍰：……三、製造噪音或深夜喧嘩，妨害公眾安寧者。」
三、噪音管制法第3條規定：「本法所稱噪音，指超過管制標準之聲音。」、第7條第1項規定：「直轄市及縣（市）主管機關得視轄境內噪音狀況劃定公告各類噪音管制區，並應定期檢討，重新劃定公告之；其管制區之劃分原則、劃定程序及其他應遵行事項之準則，由中央主管機關定之。」、第8條規定：「（第1項）噪音管制區內，於直轄市、縣（市）主管機關公告之時間、地區或場所不得從事下列行為致妨害他人生活環境安寧：……四、其他經主管機關公告之行為。」、第9條規定：「（第1項）噪音管制區內之下列場所、工程及設施，所發出之聲音不得超出噪音管制標準：……六、其他經主管機關公告之場所、工程及設施。（第2項）前項各款噪音管制之音量及測定之標準，由中央主管機關定之。」、第23條規定「違反第八條規定者，處新臺幣3千元以上3萬元以下罰鍰，並令其立即改善；未遵行者，按次處罰。」、第24條規定：「（第1項）違反第九條第一項規定，經限期改善仍未符合噪音管制標準者，得依下列規定按次或按日連續處罰，或令其停工、停業或停止使用，至符合噪音管制標準時為止；其為第十條第一項取得許可證之設施，必要時並得廢止其許可證：……五、其他經公告之場所、工程及設施：處新臺幣3千元以上3萬元以下罰鍰。（第2項）前項限期改善之期限規定如下：……依本法第九條第一項第六款公告之場所、工程及設施，其改善期限由主管機關於公告時定之，最長不得超過九十日。」
四、總結建議：（一）大偉可先瞭解其計畫入住之社區規約，是否有限制假日使用動力機械施作木工之相關規定，如有，應依公寓大廈管理條例第6條予以遵守；如規約無相關規定，依同法第16條，亦宜事先與周遭鄰居、社區管理委員會或管理負責人協商施作之時段，否則可能會被依同法第47條處以新臺幣3千元以上1萬5千元以下罰鍰；縱大偉計畫入住之社區並不適用公寓大廈管理條例，若其施作木工製造噪音達到妨害公眾安寧之程度，亦可能被依社會秩序維護法第72條處以6千元以下罰鍰。（二）大偉亦須注意在直轄市、縣（市）主管機關公告之噪音管制區內，依噪音管制法第8條皆已公告相關之時間限制，而臺中市政府亦公告：「於本市各類噪音管制區住宅及公寓大廈晚上10時至翌日上午8時及例假日（含國定假日）中午12時至下午2時，不得使用動力機械從事裝修工程致妨礙安寧之行為。」，若在前開公告禁止時段仍使用動力機械施作木工，將違反噪音管制法第23條規定，而被處以新臺幣3千元以上3萬元以下罰鍰，且須立即改善，未改善者，會按次處罰。（三）並且無論於任何時段，若施作木工的噪音超出噪音管制法第9條規定的管制標準時，主管機關得依據同法第24條規定，要求限期改善，如期限過後仍未符合噪音標準者，得按日或按次處以新臺幣3千元以上3萬元以下罰鍰。因此大偉也可以考慮隔音措施來降低聲量，例如為機械安裝滅聲器、在工作檯及機械底下放置膠墊。（四）我國因地狹人稠，人們的生活空間變得越來越緊密，難免互相影響，相關的限制規定，核心精神都在於調和彼此居住安寧之權利及得在住處自由從事合理之生活起居活動之權利，以木工為興趣的大偉願意在回國定居前瞭解相關限制，敦親睦鄰，真是一個稱職的現代社會好公民。"
請求國家賠償可以委任代理人嗎？,請求權人如因事務繁忙無法親自進行程序，或需要具有專業知識人士協助，可以委任代理人進行程序。但必須在最初為協議行為時，提出委任書，委任書格式可至此下載(https://www.legal.taichung.gov.tw/334447/post)。
"年滿20歲的大三學生阿士於校外便利商店前，將菸蒂往水溝蓋孔丟，經同學勸阻，阿士卻表示丟水溝才符合垃圾不落地、其沒有違法。請問阿士上述將菸蒂丟進水溝的行為是否有法律上責任？
","一、廢棄物清理法第27條規定：「在指定清除地區內嚴禁有下列行為：……二、污染地面、池溏、水溝、牆壁、樑柱、電桿、樹木、道路、橋樑或其他土地定著物。……八、於水溝棄置雜物。……」。
二、廢棄物清理法第50條規定：「有下列情形之一者，處新臺幣一千二百元以上六千元以下罰鍰。經限期改善，屆期仍未完成改善者，按日連續處罰：……三、為第二十七條各款行為之一。」
三、本案例中，阿士將菸蒂丟進水溝的行為，違反禁止污染水溝、於水溝棄置雜物等行政義務，得依法處罰阿士1,200元以上6,000元以下罰鍰。為有效清除、處理廢棄物，改善環境衛生，維護國民健康，我國特制定廢棄物清理法。而水溝之用途為雨水排水，雨水被一路送至河川、直通海洋，途中沒有經過污水處理廠，亦即並無過濾菸蒂的機制。菸蒂有塑膠成份，每根至少要花費約15年才能分解，且含焦油等對環境有毒之化學物質。菸蒂是淨灘海廢數量的第3名，如果我們捨不得將菸蒂扔進魚缸，那就不應該把水溝當成煙灰缸喔！"
"16歲的小明剛開始高中生活，但因適應不良，在學業上也一直難有表現，一時灰心，便開始與一些不良朋友交往，行為稍有些偏差；小明爸媽雖然知道這些情形，但總覺得小明只是年少貪玩，並不以為意。某日，小明與朋友們玩大冒險遊戲，大夥煽動小明至便利商店偷取啤酒1瓶，但沒想到，當場被就被店員發現並報警處理。小明爸媽在接獲警察局通知後，才知道小明因竊盜案件被警方帶到警察局。請問小明爸媽是否有責任呢？
","一、民法第187條規定：「（第1項）無行為能力人或限制行為能力人，不法侵害他人之權利者，以行為時有識別能力為限，與其法定代理人連帶負損害賠償責任。行為時無識別能力者，由其法定代理人負損害賠償責任。（第2項）前項情形，法定代理人如其監督並未疏懈，或縱加以相當之監督，而仍不免發生損害者，不負賠償責任。（第3項）如不能依前二項規定受損害賠償時，法院因被害人之聲請，得斟酌行為人及其法定代理人與被害人之經濟狀況，令行為人或其法定代理人為全部或一部之損害賠償。……」。
二、少年事件處理法第2條規定：「本法稱少年者，謂12歲以上18歲未滿之人。」。
三、少年事件處理法第3條規定：「（第1項）下列事件，由少年法院依本法處理之：一、少年有觸犯刑罰法律之行為者。二、少年有下列情形之一，而認有保障其健全自我成長之必要者：（一）無正當理由經常攜帶危險器械。（二）有施用毒品或迷幻物品之行為而尚未觸犯刑罰法律。（三）有預備犯罪或犯罪未遂而為法所不罰之行為。（第2項）前項第二款所指之保障必要，應依少年之性格及成長環境、經常往來對象、參與團體、出入場所、生活作息、家庭功能、就學或就業等一切情狀而為判斷。」。
四、少年事件處理法第84條規定：「（第1項）少年之法定代理人，因忽視教養，致少年有第3條第1項之情形，而受保護處分或刑之宣告，或致保護處分之執行難收效果者，少年法院得裁定命其接受8小時以上50小時以下之親職教育輔導，以強化其親職功能。…（第5項）拒不接受親職教育輔導或時數不足者，少年法院得裁定處新臺幣6千元以上3萬元以下罰鍰；經再通知仍不接受者，得按次連續處罰，至其接受為止。其經連續處罰三次以上者，並得裁定公告法定代理人之姓名。（第6項）前項罰鍰之裁定，得為民事強制執行名義，由少年法院囑託各該地方法院民事執行處強制執行之，免徵執行費。（第7項）少年之法定代理人有第一項情形，情況嚴重者，少年法院並得裁定公告其姓名。」。
五、為避免少年因身心發展尚未完全、思慮亦欠周全，更缺乏相關社會生活經驗，而做出自己無能負責的事情，或被成年人利用欺騙，我國立法政策上多選擇減免少年相關法律責任，以保護少年身心健康及人格健全成長。但少年法律責任之減輕，並不等於家長（法定代理人）可免除其保護教養義務，本案例中，小明父母未注意小明因環境適應問題所生行為偏差，亦未能即時給予關懷及輔導，使小明誤交損友而釀成錯誤，除需與小明共同負擔民事損害賠償責任外；小明所涉犯之刑事案件，如經少年法院認定係因父母疏忽教養，而致小明觸犯刑罰時，少年法院得命小明父母接受親職教育。教育並非只是學校的責任，仍須仰賴家庭教育共同合作，透過父母協助，除可協助少年矯正不良行為、矯治其性格外，更可保護少年健全自我成長！"
"甜甜的爸爸在她小時候就過世了，她與媽媽相依為命，但因為家庭經濟狀況不佳，甜甜的媽媽每天都必需工作到很晚，沒辦法花很多時間教育她、陪伴她；然而，體貼的甜甜總是很認真的唸書，希望將來長大可以找到一份好工作，讓媽媽不要讓那麼辛苦。甜甜上了高中以後，為了學好英文，很想要有一台電子辭典，但她知道價格不便宜，一直不敢跟媽媽開口；甜甜的好友美麗因為知道甜甜家裡的狀況，便把她所有的電子辭典借給甜甜使用，但過沒多久，美麗發現甜甜除了拿來查詢單字外，更沉迷在裡面的遊戲，美麗認為這樣不好，便要求甜甜要把電子辭典還給自己，甜甜覺得很沒面子，所以在歸還之前，故意把電子辭典摔到地上，讓它裂成兩半，這樣的行為讓美麗既難過又生氣。請問：甜甜這樣的行為是否會構成犯罪呢？
",一、民法第184條第1項規定：「因故意或過失，不法侵害他人之權利者，負損害賠償責任。故意以背於善良風俗之方法，加損害於他人者亦同。」二、民法第468條規定：「（第1項）借用人應以善良管理人之注意，保管借用物。（第2項）借用人違反前項義務，致借用物毀損、滅失者，負損害賠償責任。但依約定之方法或依物之性質而定之方法使用借用物，致有變更或毀損者，不負責任。」三、中華民國刑法第354條規定：「毀棄、損壞前2條以外之他人之物或致令不堪用，足以生損害於公眾或他人者，處2年以下有期徒刑、拘役或1萬5千元以下罰金。」四、甜甜為了把英文學好而想要一台電子辭典，又不希望造成媽媽經濟上的負擔，慶幸有好友美麗的幫助，讓她免費使用電子辭典，但甜甜故意摔壞美麗所有的電子辭典，讓它無法繼續使用，除了可能需負擔民事上的賠償責任之外，更可能構成毀損罪之刑責，而甜甜雖然發洩了自己的情緒，但卻必須負擔相關法律上的責任，更失去了一個關心她的好朋友，真的是得不償失！
"阿義因為好賭而負債累累，債主屢次上門討債，更讓阿義不堪其擾。阿義想起家中老父親名下有許多房產，價值不斐，於是動起歪腦筋，偽造了老父親的遺囑，把老父親所有房產全都指定由阿義一人繼承，排除了其他兄弟姐妹。請問阿義這麼做，會不會影響他的繼承權利呢？
","一、民法第1145條規定：「（第1項）有左列各款情事之一者，喪失其繼承權：一、故意致被繼承人或應繼承人於死或雖未致死因而受刑之宣告者。二、以詐欺或脅迫使被繼承人為關於繼承之遺囑，或使其撤回或變更之者。三、以詐欺或脅迫妨害被繼承人為關於繼承之遺囑，或妨害其撤回或變更之者。四、偽造、變造、隱匿或湮滅被繼承人關於繼承之遺囑者。五、對於被繼承人有重大之虐待或侮辱情事，經被繼承人表示其不得繼承者。（第2項）前項第二款至第四款之規定，如經被繼承人宥恕者，其繼承權不喪失。」。
二、中華民國刑法第210條規定：「偽造、變造私文書，足以生損害於公眾或他人者，處五年以下有期徒刑。」。
三、民法關於繼承相關規定，除了規範被繼承人死後財產歸屬之外，亦強調被繼承人之個人意思自由，尊重被繼承人對於其遺產分配之選擇。
本案例中，阿義為解決自己債務問題，偽造老父親之遺囑，並將老父親所有之房產全部指定由自己繼承，且排除其他兄弟姐妹繼承權利，阿義此舉涉及民法1145條第1項第4款所定喪失繼承權事由，除非阿義的老父親願意原諒他並宥恕此舉，否則，阿義將喪失繼承老父親財產的權利，甚至可能構成刑法第210條所稱偽造私文書罪，真的是得不償失！"
"小妮就讀於個國中二年級，個性活潑的她也很喜歡在社群網路上跟同學們分享自己的生活點滴；但小妮發現隨著她網路社群媒體上的追蹤人數增加，攻擊或是謾罵的留言也越來越多，其中也不乏來自於同校同學的攻擊言論，這讓小妮非常難過，漸漸地也不太喜歡上學，影響了她原有的求學生活。我們應該如何正確認識校園霸凌？應該如何處理類似事件呢？
","一、教育基本法第8條規定：「……（第2項）學生之學習權、受教育權、身體自主權及人格發展權，國家應予保障，並使學生不受任何體罰及霸凌行為，造成身心之侵害。……（第5項）第2項霸凌行為防制機制、處理程序及其他應遵行事項之準則，由中央主管教育行政機關定之。」。
二、校園霸凌防制準則第3條第1項規定：「本準則用詞，定義如下：……四、霸凌：指個人或集體持續以言語、文字、圖畫、符號、肢體動作、電子通訊、網際網路或其他方式，直接或間接對他人故意為貶抑、排擠、欺負、騷擾或戲弄等行為，使他人處於具有敵意或不友善環境，產生精神上、生理上或財產上之損害，或影響正常學習活動之進行。五、校園霸凌：指相同或不同學校校長及教師、職員、工友、學生（以下簡稱教職員工生）對學生，於校園內、外所發生之霸凌行為。」。
三、校園霸凌防制準則第13條第1項規定：「疑似校園霸凌事件之被霸凌人或其法定代理人（以下簡稱申請人），得向行為人於行為發生時所屬之學校（以下簡稱ㄒ調查學校）申請調查。」。
四、校園霸凌防制準則第29條第1項規定：「學校完成調查後，確認校園霸凌事件成立時，應立即啟動霸凌輔導機制，並持續輔導當事人改善。」。
五、校園霸凌防制準則第31條規定：「校園霸凌事件情節嚴重者，學校應即請求警政、社政機關（構）或司法機關協助，並依少年事件處理法、兒童及少年福利與權益保障法、社會秩序維護法等相關規定處理。」。
六、小妮同校同學在網路社群媒體上，不停地以留言方式攻擊小妮，造成小妮精神上受到打擊，且影響她正常學習活動的進行，這樣的行為可能已經構成校園霸凌，小妮可以直接撥打反霸凌專線「1953」，或直接向學校、老師及家長反映，更可透過學校調查機制，確認霸凌事件是否成立，並啟動霸凌輔導機制等，如情節嚴重時，學校亦得依少年事件處理法、兒童及少年福利與權益保障法、社會秩序維護法等相關規定予以處理。
七、校園霸凌事件存在於校園內外，霸凌行為對於受凌者、旁觀者、甚至霸凌者身心發展都有非常深遠的影響，如能即早發現、及時遏止，也可以避免許多憾事發生，因此，校園霸凌的預防及處理刻不容緩，讓我們共同建構一個安心校園，讓孩子能健康成長！"
"喬治與安妮婚後育有獨生女甜甜，但喬治與安妮卻因為雙方的生活習慣與人生觀念差距越來越大，而終仍協議結束婚姻生活，並約定未成年子女甜甜之權利義務由雙方共同行使及負擔。請問喬治與安妮除了簽訂離婚協議書外，應否辦理相關戶籍登記？
","一、民法第1050條規定：「兩願離婚，應以書面為之，有二人以上證人之簽名並應向戶政機關為離婚之登記。」、民法第1055條第1項規定：「夫妻離婚者，對於未成年子女權利義務之行使或負擔，依協議由一方或雙方共同任之。……」。
二、戶籍法第9條第2項規定：「離婚，應為離婚登記。」、第34條規定：「離婚登記，以雙方當事人為申請人。……」。
三、戶籍法第13條規定：「對於未成年子女權利義務之行使或負擔，經父母協議……由父母一方或雙方任之者，應為未成年子女權利義務行使負擔登記。」、第35條第3項規定：「未成年子女權利義務行使負擔登記，以行使或負擔之一方或雙方為申請人。」。
四、喬治與安妮雖然已經協議離婚，雖然夫妻關係不再，但仍是甜甜的父母，並約定未成年子女甜甜之權利義務由雙方共同行使負擔，而離婚後雖然要處理非常多繁複的事情，但也要記得向戶政事務所辦理離婚登記及未成年子女權利義務行使負擔登記唷！"
